Kanji,Meaning,Radicals
先,"first","牛 (cow) + 儿 (legs)"
海,"sea","氵 (water) + 丿 (slash) + 一 (one) + 母 (mother)"
通,"pass through","辶 (walk) + 龴 + 用 (use)"
教,"teach","土 (earth) + 丿 (slash) + 子 (child) + 攵 (rap)"
儿,"son","儿 (legs)"
原,"source","厂 (cliff) + 白 (white) + 小 (small)"
东,"east","东 (east)"
声,"sound","士 (scholar) + 尸 (corpse) + 丨 (line)"
提,"hold in hand","扌 (hand) + 日 (sun)"
立,"stand","立 (stand)"
及,"extend","乃 (then)"
比,"to compare","比 (compare)"
员,"member","口 (mouth) + 贝 (shell)"
解,"loosen","角 (horn) + 刀 (knife) + 牛 (cow)"
水,"water","水 (water)"
名,"name","夕 (evening) + 口 (mouth)"
真,"real","十 (ten) + 貝 (shell) + 一 (one)"
论,"debate","讠 (speech) + 人 (man) + 匕 (spoon)"
处,"place","夂 (go) + 卜 (divination)"
走,"walk","走 (run)"
义,"right conduct","乂 + 丶 (dot)"
各,"each","夂 (go) + 口 (mouth)"
入,"enter","入 (enter)"
几,"small table","几 (table)"
口,"mouth","口 (mouth)"
认,"recognize","讠 (speech) + 人 (man)"
条,"clause","夂 (go) + 木 (tree)"
平,"flat","干 (dry) + 丷 (eight)"
系,"system","丿 (slash) + 糸 (silk)"
气,"steam","气 (breath)"
题,"forehead","日 (sun) + 页 (leaf)"
活,"live","氵 (water) + 舌 (tongue)"
尔,"you","小 (small)"
更,"more","更 (more)"
别,"separate","口 (mouth) + 力 (power) + 刂 (knife)"
打,"strike","扌 (hand) + 一 (one) + 亅 (hook)"
女,"woman","女 (woman)"
变,"change","亦 (also) + 又 (again)"
四,"four","囗 (enclosure) + 儿 (legs)"
神,"spirit","礻 (showing) + 曰 (say) + 丨 (line)"
总,"collect","心 (heart)"
何,"what","亻 (man) + 口 (mouth) + 一 (one) + 亅 (hook)"
电,"electricity","曰 (say) + 乚 (second)"
数,"number","米 (rice) + 女 (woman) + 攵 (rap)"
安,"peaceful","宀 (roof) + 女 (woman)"
少,"few","小 (small) + 丿 (slash)"
报,"report","扌 (hand) + 卩 (seal) + 又 (again)"
才,"talent","才 (talent)"
结,"knot","纟 (silk) + 士 (scholar) + 口 (mouth)"
反,"reverse","又 (again)"
受,"receive","爫 (claw) + 又 (again)"
目,"eye","目 (eye)"
太,"very","大 (big) + 丶 (dot)"
量,"measure","日 (sun) + 一 (one) + 里 (village)"
再,"again","一 (one) + 冂 (down box) + 土 (earth)"
感,"feel","丿 (slash) + 戈 (halberd) + 一 (one) + 口 (mouth) + 心 (heart)"
建,"build","廴 (long stride) + 聿 (brush)"
务,"affairs","夂 (go) + 力 (power)"
做,"work","亻 (man) + 十 (ten) + 口 (mouth) + 攵 (rap)"
接,"receive","扌 (hand) + 立 (stand) + 女 (woman)"
必,"surely","心 (heart) + 丿 (slash)"
场,"open space","土 (earth)"
件,"numerary adjunct for article","亻 (man) + 牛 (cow)"
计,"plan","讠 (speech) + 十 (ten)"
管,"pipe","竹 (bamboo) + 宀 (roof) + 㠯"
期,"period of time","其 (his) + 月 (moon)"
市,"market","亠 (lid) + 巾 (turban)"
直,"straight","十 (ten) + 目 (eye) + 乚 (second)"
德,"ethics","彳 (step)"
资,"property","冫 (ice) + 欠 (lack) + 贝 (shell)"
命,"life","人 (man) + 一 (one) + 口 (mouth) + 卩 (seal)"
山,"mountain","山 (mountain)"
金,"gold","金 (gold)"
指,"finger","扌 (hand) + 匕 (spoon) + 日 (sun)"
克,"gram","十 (ten) + 口 (mouth) + 儿 (legs)"
许,"allow","讠 (speech) + 丿 (slash) + 一 (one) + 十 (ten)"
统,"govern","纟 (silk) + 亠 (lid) + 厶 (private) + 儿 (legs)"
区,"area","匚 (open box) + 乂"
保,"protect","亻 (man) + 口 (mouth) + 木 (tree)"
至,"reach","至 (arrive)"
队,"team","阝 (mound) + 人 (man)"
形,"form","一 (one) + 廾 (two hands) + 彡 (bristle)"
社,"god of the soil and altars to him","礻 (showing) + 土 (earth)"
便,"convenience","亻 (man) + 更 (more)"
空,"empty","穴 (cave) + 工 (work)"
决,"decide","冫 (ice) + 大 (big) + 乛 (second)"
治,"govern","氵 (water) + 厶 (private) + 口 (mouth)"
展,"open","尸 (corpse)"
马,"horse","马 (horse)"
科,"section","禾 (grain) + 斗 (dipper)"
司,"take charge of","𠃌 + 一 (one) + 口 (mouth)"
五,"five","五 (five)"
基,"foundation","其 (his) + 土 (earth)"
眼,"eye","目 (eye) + 艮 (stopping)"
书,"book","书 (book)"
非,"not","非 (wrong)"
则,"rule","贝 (shell) + 刂 (knife)"
听,"hear","口 (mouth) + 斤 (axe)"
白,"white","白 (white)"
却,"still","土 (earth) + 厶 (private) + 卩 (seal)"
界,"boundary","田 (field) + 人 (man) + 儿 (legs)"
达,"arrive at","辶 (walk) + 大 (big)"
光,"light","一 (one) + 儿 (legs)"
放,"put","方 (square) + 攵 (rap)"
强,"strong","弓 (bow) + 口 (mouth) + 虫 (insect)"
即,"promptly","艮 (stopping) + 卩 (seal)"
像,"a picture","亻 (man) + 象 (elephant)"
难,"difficult","又 (again) + 隹 (short tailed bird)"
且,"moreover","且 (moreover)"
权,"power","木 (tree) + 又 (again)"
思,"think","田 (field) + 心 (heart)"
王,"king","王 (king)"
象,"elephant","象 (elephant)"
完,"complete","宀 (roof) + 一 (one) + 儿 (legs)"
设,"build","讠 (speech) + 殳 (weapon)"
式,"style","弋 (shoot) + 工 (work)"
色,"color","色 (color)"
路,"road","足 (foot) + 夂 (go) + 口 (mouth)"
记,"record","讠 (speech) + 己 (oneself)"
南,"south","十 (ten) + 冂 (down box) + 丷 (eight) + 干 (dry)"
品,"article","口 (mouth)"
住,"reside","亻 (man) + 丶 (dot) + 王 (king)"
告,"tell","牛 (cow) + 口 (mouth)"
类,"class","米 (rice) + 大 (big)"
求,"seek","求 (seek)"
据,"to occupy","扌 (hand) + 尸 (corpse) + 十 (ten) + 口 (mouth)"
程,"journey","禾 (grain) + 口 (mouth) + 王 (king)"
北,"north","爿 (half tree trunk) + 匕 (spoon)"
边,"edge","辶 (walk) + 力 (power)"
死,"die","歹 (death) + 匕 (spoon)"
张,"stretch","弓 (bow) + 长 (long)"
该,"should","讠 (speech) + 亠 (lid) + 人 (man)"
交,"mix","亠 (lid) + 父 (father)"
规,"rules","一 (one) + 大 (big) + 见 (see)"
万,"ten thousand","万 (ten thousand)"
取,"take","耳 (ear) + 又 (again)"
拉,"pull","扌 (hand) + 立 (stand)"
格,"pattern","木 (tree) + 夂 (go) + 口 (mouth)"
望,"to look at","亠 (lid) + 乚 (second) + 月 (moon) + 王 (king)"
觉,"to wake up from sleep","小 (small) + 见 (see)"
术,"art","木 (tree) + 丶 (dot)"
领,"neck","人 (man) + 一 (one) + 龴 + 页 (leaf)"
共,"together with","廿 + 廾 (two hands)"
确,"sure","石 (stone) + 角 (horn)"
传,"summon","亻 (man) + 专 (monopolize)"
师,"teacher","刂 (knife) + 一 (one) + 巾 (turban)"
观,"see","又 (again) + 见 (see)"
清,"clear","氵 (water) + 青 (blue)"
今,"now","人 (man) + 一 (one)"
切,"cut","七 (seven) + 刀 (knife)"
院,"courtyard","阝 (mound) + 宀 (roof) + 一 (one) + 儿 (legs)"
让,"allow","讠 (speech) + 上 (top)"
识,"recognize","讠 (speech) + 口 (mouth) + 八 (eight)"
候,"wait","亻 (man) + 矢 (arrow)"
带,"belt","川 (river) + 一 (one) + 巾 (turban)"
导,"direct","巳 + 寸 (inch)"
争,"dispute","𠂊 + 肀"
运,"run","辶 (walk) + 二 (two) + 厶 (private)"
笑,"smile","竹 (bamboo) + 丿 (slash) + 大 (big)"
飞,"fly","飞 (fly)"
风,"wind","风 (wind)"
步,"step","止 (stop) + 𣥂"
改,"change","己 (oneself) + 攵 (rap)"
收,"gather together","丨 (line) + 攵 (rap)"
根,"root","木 (tree) + 艮 (stopping)"
干,"oppose","干 (dry)"
造,"construct","辶 (walk) + 牛 (cow) + 口 (mouth)"
言,"words","言 (speech)"
联,"connect","耳 (ear) + 丷 (eight) + 一 (one) + 大 (big)"
持,"sustain","扌 (hand) + 土 (earth) + 寸 (inch)"
组,"class","纟 (silk) + 且 (moreover)"
每,"every","丿 (slash) + 一 (one) + 母 (mother)"
济,"help","氵 (water) + 齐 (even)"
车,"cart","车 (cart)"
亲,"relatives","立 (stand) + 朩"
极,"extreme","木 (tree) + 乃 (then)"
林,"forest","木 (tree)"
服,"clothes","月 (moon) + 卩 (seal) + 又 (again)"
快,"rapid","忄 (heart) + 大 (big) + 乛 (second)"
办,"manage","力 (power) + 丷 (eight)"
议,"consult","讠 (speech) + 乂 + 丶 (dot)"
往,"go","彳 (step) + 丶 (dot) + 王 (king)"
元,"first","一 (one) + 儿 (legs)"
英,"petal","艹 (grass) + 冂 (down box) + 大 (big)"
士,"scholar","士 (scholar)"
证,"prove","讠 (speech) + 一 (one) + 止 (stop)"
近,"near","辶 (walk) + 斤 (axe)"
失,"lose","丿 (slash) + 一 (one) + 大 (big)"
转,"shift","车 (cart) + 专 (monopolize)"
夫,"man","一 (one) + 大 (big)"
令,"command","人 (man) + 一 (one) + 龴"
准,"approve","冫 (ice) + 隹 (short tailed bird)"
布,"cotton cloth","丿 (slash) + 一 (one) + 巾 (turban)"
始,"begin","女 (woman) + 厶 (private) + 口 (mouth)"
怎,"what? why? how?","乍 (first time) + 心 (heart)"
呢,"interrogative or emphatic final","口 (mouth) + 尸 (corpse) + 匕 (spoon)"
存,"exist","一 (one) + 亻 (man) + 子 (child)"
未,"not yet","木 (tree) + 一 (one)"
远,"distant","辶 (walk) + 一 (one) + 儿 (legs)"
叫,"cry","口 (mouth) + 丨 (line)"
台,"platform","厶 (private) + 口 (mouth)"
单,"single","八 (eight) + 田 (field) + 十 (ten)"
影,"shadow","日 (sun) + 亠 (lid) + 口 (mouth) + 小 (small) + 彡 (bristle)"
具,"tool","貝 (shell) + 一 (one)"
罗,"net for catching birds","罒 (net) + 夕 (evening)"
字,"letter","宀 (roof) + 子 (child)"
爱,"love","爫 (claw) + 丿 (slash) + 一 (one) + 又 (again)"
击,"strike","凵 (open box) + 扌 (hand)"
流,"flow","氵 (water) + 亠 (lid) + 厶 (private) + 川 (river)"
备,"prepare","夂 (go) + 田 (field)"
兵,"soldier","丘 (hill) + 八 (eight)"
连,"join","辶 (walk) + 车 (cart)"
调,"transfer","讠 (speech) + 冂 (down box) + 士 (scholar) + 口 (mouth)"
深,"deep","氵 (water) + 木 (tree)"
商,"commerce","亠 (lid) + 八 (eight) + 冂 (down box) + 口 (mouth)"
算,"count","竹 (bamboo)"
质,"matter","贝 (shell)"
团,"sphere","囗 (enclosure) + 才 (talent)"
集,"assemble","隹 (short tailed bird) + 木 (tree)"
百,"one hundred","一 (one) + 白 (white)"
需,"need","雨 (rain) + 而 (and)"
价,"price","亻 (man) + 人 (man) + 儿 (legs)"
花,"flower","艹 (grass) + 亻 (man) + 匕 (spoon)"
党,"political party","小 (small) + 口 (mouth) + 儿 (legs)"
华,"flowery","亻 (man) + 匕 (spoon) + 十 (ten)"
城,"castle","土 (earth) + 丿 (slash) + 戈 (halberd) + 一 (one) + 亅 (hook)"
石,"stone","石 (stone)"
级,"level","纟 (silk) + 乃 (then)"
整,"orderly","木 (tree) + 口 (mouth) + 攵 (rap) + 一 (one) + 止 (stop)"
府,"prefecture","广 (dotted cliff) + 亻 (man) + 寸 (inch)"
离,"rare beast","亠 (lid) + 凵 (open box) + 乂 + 禸 (track)"
况,"condition","冫 (ice) + 口 (mouth) + 儿 (legs)"
亚,"Asia","亚 (Asia)"
请,"ask","讠 (speech) + 青 (blue)"
技,"skill","扌 (hand) + 支 (branch)"
际,"border","阝 (mound) + 示 (showing)"
约,"treaty","纟 (silk) + 勹 (wrap) + 丶 (dot)"
示,"show","示 (showing)"
复,"return","丿 (slash) + 一 (one)"
病,"illness","疒 (sickness) + 一 (one) + 冂 (down box) + 人 (man)"
息,"rest","自 (self) + 心 (heart)"
究,"examine","穴 (cave) + 九 (nine)"
线,"line","纟 (silk) + 一 (one) + 戈 (halberd)"
似,"resemble","亻 (man) + 厶 (private) + 人 (man)"
官,"official","宀 (roof) + 㠯"
火,"fire","火 (fire)"
断,"sever","乚 (second) + 米 (rice) + 斤 (axe)"
精,"essence","米 (rice) + 青 (blue)"
满,"fill","氵 (water) + 艹 (grass) + 两 (two)"
支,"disperse","支 (branch)"
视,"look at","礻 (showing) + 见 (see)"
消,"vanish","氵 (water) + 小 (small) + 月 (moon)"
越,"exceed","走 (run) + 乚 (second) + 戈 (halberd)"
器,"receptacle","口 (mouth) + 大 (big)"
容,"looks","宀 (roof) + 谷 (valley)"
照,"shine","日 (sun) + 刀 (knife) + 口 (mouth) + 灬 (fire)"
须,"must","彡 (bristle) + 页 (leaf)"
九,"nine","九 (nine)"
增,"increase","土 (earth) + 八 (eight) + 田 (field) + 曰 (say)"
研,"grind","石 (stone) + 一 (one) + 廾 (two hands)"
写,"write","冖 (over) + 与 (and)"
称,"call","禾 (grain) + 小 (small)"
企,"plan a project","人 (man) + 止 (stop)"
八,"eight","八 (eight)"
功,"achievement","工 (work) + 力 (power)"
吗,"final interrogative particle","口 (mouth) + 马 (horse)"
包,"wrap","勹 (wrap) + 巳"
片,"slice","片 (slice)"
史,"history","口 (mouth) + 乂"
委,"appoint","禾 (grain) + 女 (woman)"
乎,"interrogative or exclamatory final particle","乎 (interrogative or exclamatory final particle)"
查,"investigate","木 (tree) + 日 (sun) + 一 (one)"
轻,"light","车 (cart) + 又 (again) + 工 (work)"
易,"change","日 (sun) + 勿 (must not)"
早,"early","日 (sun) + 十 (ten)"
曾,"already","八 (eight) + 田 (field) + 曰 (say)"
除,"eliminate","阝 (mound) + 人 (man) + 一 (one) + 朩"
农,"agriculture","农 (agriculture)"
找,"search","扌 (hand) + 戈 (halberd)"
装,"dress","丬 (half tree trunk) + 士 (scholar) + 衣 (clothes)"
广,"wide","广 (dotted cliff)"
显,"manifest","日 (sun) + 业 (profession)"
吧,"emphatic final particle","口 (mouth) + 巴 (greatly desire)"
阿,"prefix for peoples names","阝 (mound) + 口 (mouth) + 一 (one) + 亅 (hook)"
李,"plum","木 (tree) + 子 (child)"
标,"mark","木 (tree) + 示 (showing)"
谈,"talk","讠 (speech) + 火 (fire)"
吃,"eat","口 (mouth) + 丿 (slash) + 一 (one) + 乙 (second)"
图,"diagram","囗 (enclosure) + 夂 (go) + 冫 (ice)"
念,"think of","人 (man) + 一 (one) + 心 (heart)"
六,"number six","亠 (lid) + 八 (eight)"
引,"to pull","弓 (bow) + 丨 (line)"
历,"history","厂 (cliff) + 力 (power)"
首,"head","首 (head)"
医,"cure","匚 (open box) + 矢 (arrow)"
局,"bureau","尸 (corpse) + 乛 (second) + 口 (mouth)"
突,"suddenly","穴 (cave) + 犬 (dog)"
专,"monopolize","专 (monopolize)"
费,"expenses","弓 (bow) + 刂 (knife) + 贝 (shell)"
号,"mark","口 (mouth) + 丂"
尽,"exhaust","尸 (corpse) + 冫 (ice)"
另,"another","口 (mouth) + 力 (power)"
周,"Zhou dynasty","冂 (down box) + 士 (scholar) + 口 (mouth)"
较,"compare","车 (cart) + 亠 (lid) + 父 (father)"
注,"concentrate","氵 (water) + 丶 (dot) + 王 (king)"
语,"language","讠 (speech) + 五 (five) + 口 (mouth)"
仅,"only","亻 (man) + 又 (again)"
考,"examine","土 (earth) + 丿 (slash) + 丂"
落,"fall","艹 (grass) + 氵 (water) + 夂 (go) + 口 (mouth)"
青,"blue","青 (blue)"
随,"follow","阝 (mound) + 辶 (walk) + 丿 (slash) + 一 (one) + 月 (moon)"
选,"choose","辶 (walk) + 牛 (cow) + 儿 (legs)"
列,"a line","歹 (death) + 刂 (knife)"
武,"military","一 (one) + 弋 (shoot) + 止 (stop)"
红,"red","纟 (silk) + 工 (work)"
响,"make sound","口 (mouth) + 丶 (dot) + 冂 (down box) + 囗 (enclosure)"
虽,"although","口 (mouth) + 虫 (insect)"
推,"push","扌 (hand) + 隹 (short tailed bird)"
势,"power","扌 (hand) + 九 (nine) + 丶 (dot) + 力 (power)"
参,"take part in","厶 (private) + 人 (man) + 彡 (bristle)"
希,"rare","乂 + 丿 (slash) + 一 (one) + 巾 (turban)"
古,"old","十 (ten) + 口 (mouth)"
众,"multitude","人 (man)"
构,"frame","木 (tree) + 勹 (wrap) + 厶 (private)"
房,"house","一 (one) + 尸 (corpse) + 方 (square)"
半,"half","半 (half)"
节,"knot","艹 (grass) + 卩 (seal)"
土,"soil","土 (earth)"
投,"throw","扌 (hand) + 殳 (weapon)"
某,"certain thing or person","甘 (sweet) + 木 (tree)"
案,"table","宀 (roof) + 女 (woman) + 木 (tree)"
黑,"black","黑 (black)"
维,"maintain","纟 (silk) + 隹 (short tailed bird)"
革,"leather","革 (leather)"
划,"to row or paddle boat","戈 (halberd) + 刂 (knife)"
敌,"enemy","舌 (tongue) + 攵 (rap)"
致,"send","至 (arrive) + 攵 (rap)"
陈,"exhibit","阝 (mound) + 东 (east)"
律,"statute","彳 (step) + 聿 (brush)"
足,"foot","足 (foot)"
态,"manner","大 (big) + 丶 (dot) + 心 (heart)"
护,"protect","扌 (hand) + 丶 (dot) + 尸 (corpse)"
七,"seven","七 (seven)"
兴,"thrive","兴 (thrive)"
派,"school of thought","氵 (water) + 辰 (morning)"
孩,"baby","子 (child) + 亠 (lid) + 人 (man)"
验,"test","马 (horse) + 人 (man) + 一 (one) + 小 (small)"
责,"ones responsibility","贝 (shell)"
营,"encampment","艹 (grass) + 口 (mouth)"
星,"a star","日 (sun) + 生 (life)"
够,"enough","勹 (wrap) + 口 (mouth) + 夕 (evening)"
章,"composition","立 (stand) + 日 (sun) + 十 (ten)"
音,"sound","音 (sound)"
跟,"heel","足 (foot) + 艮 (stopping)"
志,"purpose","士 (scholar) + 心 (heart)"
底,"bottom","广 (dotted cliff) + 氏 (clan) + 丶 (dot)"
站,"stand up","立 (stand) + 卜 (divination) + 口 (mouth)"
严,"strict","严 (strict)"
巴,"greatly desire","巴 (greatly desire)"
例,"precedent","亻 (man) + 歹 (death) + 刂 (knife)"
防,"defend","阝 (mound) + 方 (square)"
族,"a family clan","方 (square) + 人 (man) + 矢 (arrow)"
供,"supply","亻 (man) + 廿 + 廾 (two hands)"
效,"result","亠 (lid) + 父 (father) + 攵 (rap)"
续,"continue","纟 (silk) + 十 (ten) + 乛 (second) + 大 (big) + 冫 (ice)"
施,"grant","方 (square) + 人 (man) + 乜 + 丨 (line)"
留,"stop","𠂎 + 卩 (seal) + 田 (field)"
讲,"explain","讠 (speech) + 井 (well)"
型,"pattern","一 (one) + 廾 (two hands) + 刂 (knife) + 土 (earth)"
料,"consider","米 (rice) + 斗 (dipper)"
终,"end","纟 (silk) + 夂 (go) + 冫 (ice)"
答,"answer","竹 (bamboo) + 人 (man) + 一 (one) + 口 (mouth)"
紧,"tense","丨 (line) + 又 (again) + 糸 (silk)"
黄,"yellow","黄 (yellow)"
绝,"to cut","纟 (silk) + 色 (color)"
奇,"strange","大 (big) + 口 (mouth) + 一 (one) + 亅 (hook)"
察,"examine","宀 (roof) + 月 (moon) + 又 (again) + 示 (showing)"
母,"mother","母 (mother)"
