Kanji,Meaning,Radicals
的,"possessive","白 (white) + 勹 (wrap) + 丶 (dot)"
一,"one","一 (one)"
是,"indeed","日 (sun)"
不,"no","不 (no)"
了,"to finish","了 (to finish)"
在,"be at","才 (talent) + 土 (earth)"
人,"man","人 (man)"
有,"have","丿 (slash) + 一 (one) + 月 (moon)"
我,"our","丿 (slash) + 十 (ten) + 戈 (halberd)"
他,"other","亻 (man) + 乜 + 丨 (line)"
这,"this","辶 (walk) + 文 (script)"
个,"numerary adjunct","人 (man) + 丨 (line)"
们,"adjunct pronoun indicate plural","亻 (man) + 门 (gate)"
中,"central","口 (mouth) + 丨 (line)"
来,"come","米 (rice) + 一 (one)"
上,"top","上 (top)"
大,"big","大 (big)"
为,"do","力 (power) + 丷 (eight)"
和,"harmony","禾 (grain) + 口 (mouth)"
国,"nation","囗 (enclosure) + 玉 (king)"
地,"earth","土 (earth) + 乜 + 丨 (line)"
到,"go to","至 (arrive) + 刂 (knife)"
以,"by means of","厶 (private) + 人 (man)"
说,"speak","讠 (speech) + 八 (eight) + 口 (mouth) + 儿 (legs)"
时,"time","日 (sun) + 寸 (inch)"
要,"necessary","覀 (west) + 女 (woman)"
就,"just","亠 (lid) + 口 (mouth) + 小 (small) + 尤 (especially)"
出,"go out","屮 (sprout) + 凵 (open box)"
会,"assemble","人 (man) + 一 (one) + 厶 (private)"
可,"may","口 (mouth) + 一 (one) + 亅 (hook)"
也,"also","乜 + 丨 (line)"
你,"you","亻 (man) + 小 (small)"
对,"correct","又 (again) + 寸 (inch)"
生,"life","生 (life)"
能,"to be able","厶 (private) + 月 (moon) + 比 (compare)"
而,"and","而 (and)"
子,"offspring","子 (child)"
那,"that","冂 (down box) + 二 (two) + 阝 (mound)"
得,"obtain","彳 (step) + 日 (sun) + 寸 (inch)"
于,"in","二 (two) + 亅 (hook)"
着,"make move","羊 (sheep) + 目 (eye)"
下,"under","一 (one) + 卜 (divination)"
自,"self","自 (self)"
之,"marks preceding phrase as modifier of following phrase","之 (marks preceding phrase as modifier of following phrase)"
年,"year","年 (year)"
过,"pass","辶 (walk) + 寸 (inch)"
发,"issue","发 (issue)"
后,"queen","一 (one) + 口 (mouth)"
作,"make","亻 (man) + 乍 (first time)"
里,"unit of distance","里 (village)"
用,"use","用 (use)"
道,"path","辶 (walk) + 首 (head)"
行,"go","行 (walk)"
所,"place","一 (one) + 尸 (corpse) + 斤 (axe)"
然,"yes","月 (moon) + 犬 (dog) + 灬 (fire)"
家,"house","宀 (roof) + 豕 (pig)"
种,"seed","禾 (grain) + 口 (mouth) + 丨 (line)"
事,"affair","事 (affair)"
成,"completed","丿 (slash) + 戈 (halberd) + 一 (one) + 亅 (hook)"
方,"a square","方 (square)"
多,"much","夕 (evening)"
经,"classic works","纟 (silk) + 又 (again) + 工 (work)"
么,"interrogative particle","丿 (slash) + 厶 (private)"
去,"go away","土 (earth) + 厶 (private)"
法,"law","氵 (water) + 土 (earth) + 厶 (private)"
学,"learning","小 (small) + 子 (child)"
如,"if","女 (woman) + 口 (mouth)"
都,"metropolis","土 (earth) + 丿 (slash) + 日 (sun) + 阝 (mound)"
同,"same","冂 (down box) + 一 (one) + 口 (mouth)"
现,"appear","王 (king) + 见 (see)"
当,"bear","小 (small) + 彐 (pigs head)"
没,"not","氵 (water) + 殳 (weapon)"
动,"move","二 (two) + 厶 (private) + 力 (power)"
面,"face","面 (face)"
起,"rise","走 (run) + 巳"
看,"look","手 (hand) + 目 (eye)"
定,"decide","宀 (roof)"
天,"sky","一 (one) + 大 (big)"
分,"divide","八 (eight) + 刀 (knife)"
还,"still","辶 (walk) + 不 (no)"
进,"advance","辶 (walk) + 井 (well)"
好,"good","女 (woman) + 子 (child)"
小,"small","小 (small)"
部,"part","立 (stand) + 口 (mouth) + 阝 (mound)"
其,"his","其 (his)"
些,"little","止 (stop) + 匕 (spoon) + 二 (two)"
主,"master","丶 (dot) + 王 (king)"
样,"shape","木 (tree) + 羊 (sheep)"
理,"reason","王 (king) + 里 (village)"
心,"heart","心 (heart)"
她,"she","女 (woman) + 乜 + 丨 (line)"
本,"root","木 (tree) + 一 (one)"
前,"in front","止 (stop) + 月 (moon) + 刂 (knife)"
开,"open","一 (one) + 廾 (two hands)"
但,"only","亻 (man) + 日 (sun) + 一 (one)"
因,"cause","囗 (enclosure) + 大 (big)"
只,"only","口 (mouth) + 八 (eight)"
从,"from","人 (man)"
想,"think","木 (tree) + 目 (eye) + 心 (heart)"
实,"real","宀 (roof) + 大 (big) + 冫 (ice)"
日,"sun","日 (sun)"
军,"army","冖 (over) + 车 (cart)"
者,"that which","土 (earth) + 丿 (slash) + 日 (sun)"
意,"thought","音 (sound) + 心 (heart)"
无,"negative","无 (do not)"
力,"power","力 (power)"
它,"it","宀 (roof) + 匕 (spoon)"
与,"and","与 (and)"
长,"long","长 (long)"
把,"hold","扌 (hand) + 巴 (greatly desire)"
机,"desk","木 (tree) + 几 (table)"
十,"ten","十 (ten)"
民,"people","民 (people)"
第,"sequence","竹 (bamboo) + 弓 (bow) + 丨 (line) + 丿 (slash)"
公,"fair","八 (eight) + 厶 (private)"
此,"this","止 (stop) + 匕 (spoon)"
已,"already","已 (already)"
工,"labor","工 (work)"
使,"cause","亻 (man) + 丈 (unit of length equal 3.3 meters) + 口 (mouth)"
情,"feeling","忄 (heart) + 青 (blue)"
明,"bright","日 (sun) + 月 (moon)"
性,"nature","忄 (heart) + 生 (life)"
知,"know","矢 (arrow) + 口 (mouth)"
全,"maintain","入 (enter) + 王 (king)"
三,"three","二 (two) + 一 (one)"
又,"and","又 (again)"
关,"frontier pass","丷 (eight) + 一 (one) + 大 (big)"
点,"dot","卜 (divination) + 口 (mouth) + 灬 (fire)"
正,"right","一 (one) + 止 (stop)"
业,"profession","业 (profession)"
外,"out","夕 (evening) + 卜 (divination)"
将,"will","丬 (half tree trunk) + 爫 (claw) + 寸 (inch)"
两,"two","两 (two)"
高,"high","高 (tall)"
间,"midpoint","门 (gate) + 日 (sun)"
由,"cause","曰 (say) + 丨 (line)"
问,"ask about","门 (gate) + 口 (mouth)"
很,"very","彳 (step) + 艮 (stopping)"
最,"most","曰 (say) + 耳 (ear) + 又 (again)"
重,"heavy","丿 (slash) + 十 (ten) + 里 (village)"
并,"combine","丷 (eight) + 一 (one) + 廾 (two hands)"
物,"thing","牜 (cow) + 勿 (must not)"
手,"hand","手 (hand)"
应,"should","广 (dotted cliff) + 小 (small) + 一 (one)"
战,"war","卜 (divination) + 口 (mouth) + 戈 (halberd)"
向,"toward","丶 (dot) + 冂 (down box) + 囗 (enclosure)"
头,"head","大 (big) + 冫 (ice)"
文,"literature","文 (script)"
体,"body","亻 (man) + 木 (tree) + 一 (one)"
政,"government","一 (one) + 止 (stop) + 攵 (rap)"
美,"beautiful","羊 (sheep) + 大 (big)"
相,"mutual","木 (tree) + 目 (eye)"
见,"see","见 (see)"
被,"passive indicator by","衤 (clothes) + 皮 (skin)"
利,"gains","禾 (grain) + 刂 (knife)"
什,"file of ten soldiers","亻 (man) + 十 (ten)"
二,"two","二 (two)"
等,"rank","竹 (bamboo) + 土 (earth) + 寸 (inch)"
产,"give birth","亠 (lid) + 八 (eight) + 厂 (cliff)"
或,"or","戈 (halberd) + 一 (one) + 口 (mouth)"
新,"new","立 (stand) + 朩 + 斤 (axe)"
己,"self","己 (oneself)"
制,"system","刂 (knife)"
身,"body","身 (body)"
果,"fruit","田 (field) + 木 (tree)"
加,"add to","力 (power) + 口 (mouth)"
西,"west(ern)","一 (one) + 儿 (legs) + 口 (mouth)"
斯,"this","其 (his) + 斤 (axe)"
月,"moon","月 (moon)"
话,"speech","讠 (speech) + 舌 (tongue)"
合,"combine","人 (man) + 一 (one) + 口 (mouth)"
回,"return","囗 (enclosure) + 口 (mouth)"
特,"special","牜 (cow) + 土 (earth) + 寸 (inch)"
代,"replace","亻 (man) + 弋 (shoot)"
内,"inside","冂 (down box) + 人 (man)"
信,"trust","亻 (man) + 言 (speech)"
表,"show","衣 (clothes) + 土 (earth)"
化,"change","亻 (man) + 匕 (spoon)"
老,"old","老 (old)"
给,"give","纟 (silk) + 人 (man) + 一 (one) + 口 (mouth)"
世,"generation","世 (generation)"
位,"throne","亻 (man) + 立 (stand)"
次,"order","冫 (ice) + 欠 (lack)"
度,"degree","广 (dotted cliff) + 廿 + 又 (again)"
门,"gate","门 (gate)"
任,"trust to","亻 (man) + 丿 (slash) + 士 (scholar)"
常,"common","小 (small) + 口 (mouth) + 巾 (turban)"
