Kanji,Meaning,Radicals
高,"Tall, High, Expensive",Lid + Mouth + Mustache
失,Fault,Husband + Slide
辺,Area,Treadmill + Sword
紙,Paper,Thread + Clan
時,"Time, O'clock, Hour",Sun + Temple
未,Not Yet,Jet
付,Attach,Leader + Measurement
風,Wind,Table + Insect + Slide
記,"Write Down, Record",Say + Oneself
欠,Lack,Lack
氏,"Family Name, Surname",Clan
末,End,Jet
理,Reason,King + Village
民,Peoples,Clan + Mouth
局,Bureau,Flag + Cape + Mouth
森,"Woods, Forest",Tree
医,Medicine,Arrow + Cage
番,Number In A Series,Sickle + Rice Paddy
住,Dwelling,Leader + Master
決,Decide,Tsunami + Hook + Person
場,Location,Dirt + Easy
助,Help,Top Hat + Power
身,"Body, Somebody",Self + Slide
話,"Talk, Speak",Say + Tongue
楽,"Comfort, Ease",Ice + White + Tree
電,Electricity,Rain + Rice Paddy + Umbrella
君,Buddy,Wolverine + Slide + Mouth
朝,Morning,Cross + Sun + Moon
合,Suit,Suit
研,Sharpen,Stone + Lantern
究,Research,Hole + Nine
馬,Horse,Horse
反,Anti,Cliff + Stool
買,Buy,Net + Shellfish
対,Versus,Writing + Measurement
支,Support,Branch
投,Throw,Fingers + Weapon
者,Someone,Coffin + Sun
間,Interval,Gate + Sun
絵,"Drawing, Painting",Thread + Meet
答,Answer,Bamboo + Suit
役,"Service, Duty",Loiter + Weapon
数,"Count, Number",Rice + Woman + Winter
所,Place,Door + Axe
道,Road,Treadmill + Neck
雲,Cloud,Rain + Cloud
具,Tool,Eye + Ground + Fins
服,Clothes,Moon + Stamp + Stool
負,Lose,Prison + Shellfish
送,Send,Treadmill + Horns + Heaven
新,New,Stand + Tree + Axe
和,"Peace, Japanese Style",Grain + Mouth
使,Use,Leader + Ground + History
重,Heavy,Heavy
発,Departure,Tent + Lantern
返,Return,Treadmill + Anti
部,Part,Clown + Building
美,Beauty,Horns + King + Big
乗,Ride,Grain + Mouth
始,Begin,Woman + Machine
県,Prefecture,Eye + Lion + Small
仮,Temporary,Leader + Anti
談,Discuss,Say + Fire
事,"Action, Thing",Cross + Mouth + Brush
泳,Swim,Tsunami + Drop + Water
定,Determine,Roof + Coat Rack
勝,Win,Moon + Horns + Train + Power
苦,Suffering,Flowers + Old
界,World,Rice Paddy + Hut
持,Hold,Fingers + Temple
待,Wait,Loiter + Temple
予,Beforehand,Mama + Street
客,Guest,Roof + Winter + Mouth
相,Mutual,Tree + Eye
要,Need,Helicopter + Woman
屋,Roof,Flag + Ground + Private + Dirt
表,Express,Life + Kick
度,Degrees,Hick + Stool
実,"Truth, Reality",Roof + Train
受,"Accept, Receive",Cleat + Forehead + Stool
物,Thing,Cow + Wing
調,Investigate,Say + Circumference
速,Fast,Treadmill + Bundle
酒,Alcohol,Tsunami + Alcohol
葉,Leaf,Flowers + World + Tree
業,Business,Spikes + Sheep + Fins
軽,Lightweight,Car + Tombstone
読,Read,Say + Sell
病,"Sick, Illness",Sick + Dynamite
習,Learn,Feathers + White
算,Calculate,Bamboo + Eye + Twenty
院,Institution,Building + Roof + Origin
飲,Drink,Eat + Lack
顔,Face,Stand + Cliff + Hair + Geoduck
路,Road,Foot + Kiss
聞,Hear,Gate + Ear
最,Most,Sun + Ear + Stool
転,Revolve,Car + Cloud
漢,Chinese,Tsunami + Chinese
親,Parent,Stand + Tree + See
語,Language,Say + Five + Mouth
歌,"Song, Sing",Lip Ring + Lack
集,"Collect, Gather",Turkey + Tree
配,Distribute,Alcohol + Oneself
起,Wake Up,Run + Oneself
鉄,Iron,Gold + Fault
鳴,Chirp,Mouth + Bird
横,Side,Tree + Yellow
落,Fall,Flowers + Tsunami + Kiss
開,Open,Gate + Lantern
運,"Carry, Luck",Treadmill + Forehead + Car
農,"Farming, Agriculture",Music + Landslide
線,Line,Thread + White + Water
進,Advance,Treadmill + Turkey
終,"End, Finish",Thread + Winter + Two
頭,Head,Beans + Geoduck
競,Compete,Stand + Older Brother
位,Rank,Leader + Stand
低,Low,Leader + Clan + Ground
労,Labor,Viking + Power
昔,Long Ago,Blackjack + Sun
特,Special,Cow + Temple
波,Wave,Tsunami + Skin
意,Idea,Sound + Heart
共,Together,Blackjack + Fins
戦,"War, Battle",Simple + Drunkard
育,"Nurture, Raise",Boob + Moon
伝,"Transmit, Tell",Leader + Cloud
