Kanji,Meaning,Radicals
巻,Scroll,Horns + Train + Oneself
満,Full,Tsunami + Flowers + Both
響,"Echo, Reverberation, Resound",Trash + Root + Building + Sound
豊,Plentiful,Music + Beans
含,Include,Now + Mouth
補,Supplement,Spirit + Wedding
票,Ballot,Helicopter + Jackhammer
候,"Climate, Candidate",Leader + Stick + Hook + Arrow
捜,Search,Fingers + Humble + Stool
慣,Accustomed,Soul + Rice Paddy + Shellfish
属,Belong,Flag + Mantis
鮮,Fresh,Fish + Sheep
訟,Lawsuit,Say + Public
抜,Extract,Fingers + Friend
逮,Apprehend,Treadmill + Brush + Water
隠,Hide,Building + Cleat + Wolverine + Heart
効,Effective,Mix + Power
居,Alive,Flag + Old
景,Scene,Sun + Capital
限,Limit,Building + Root
輩,Comrade,Criminal + Car
況,Condition,Tsunami + Older Brother
掛,Hang,Fingers + Dirt + Toe
替,"Replace, Exchange",Husband + Sun
模,Imitation,Tree + Greenhouse
従,"Obey, Accompany, Follow",Loiter + Horns + Correct
徴,"Indication, Sign",Loiter + Mountain + King + Winter
怪,Suspicious,Soul + Tombstone
我,"I, Me",Ego
突,Stab. Thrust,Hole + Big
針,Needle,Gold + Cross
河,River,Tsunami + Lip Ring
汗,Sweat,Tsunami + Dry
再,Again,Leaf + Task
較,Contrast,Car + Mix
印,"Seal, Mark",Comb + Stamp
接,Adjoin,Fingers + Stand + Woman
刺,Stab,Tree + Head + Knife
振,"Shake, Wave",Fingers + Landslide
障,Hinder,Building + Stand + Early
往,Depart,Loiter + Master
筆,Writing Brush,Bamboo + Brush
励,Encourage,Cliff + Ten Thousand + Power
創,Create,Warehouse + Knife
菓,Cake,Flowers + Fruit
授,Instruct,Fingers + Accept
討,Chastise,Say + Measurement
復,Restore,Loiter + Black Hole
造,Create,Treadmill + Announce
独,Alone,Animal + Insect
獣,"Beast, Animal",Grass + Rice Paddy + Creeper + Dog
占,Fortune,Fortune
激,"Fierce, Violent",Tsunami + White + Direction + Winter
鉛,Lead,Gold + Fins + Mouth
郵,Mail,Car + Building
豚,"Pork, Pig",Moon + Pig
故,"Circumstance, Reason",Old + Winter
貯,Savings,Shellfish + Roof + Street
迫,"Urge, Compel, Coerce",Treadmill + White
濃,Thick,Tsunami + Farming
胃,Stomach,Rice Paddy + Moon
腹,"Belly, Abdomen, Stomach",Moon + Black Hole
退,"Retreat, Reject",Treadmill + Root
給,Salary,Thread + Suit
眠,Sleep,Eye + Peoples
誘,Invite,Say + Grain + Stairs
症,Symptom,Sick + Correct
迷,Astray,Treadmill + Rice
極,Extreme,Tree + Mouth + Beggar + Stool + Ground
端,Edge,Stand + Mountain + Rake
締,Tighten,Thread + Stand + Towel
昇,Ascend,Sun + Slide + Twenty
惑,Misguided,Drunkard + Creeper + Heart
睡,Drowsy,Eye + Car
段,"Steps, Stairs",Comb + Weapon
郎,Guy,Good + Building
健,Healthy,Leader + Yoga + Brush
靴,Shoes,Leather + Change
就,Settle In,Capital + Dog
途,Route,Treadmill + Surplus
織,Weave,Thread + Sound + Drunkard
貸,Lend,Substitute + Shellfish
屈,Yield,Flag + Exit
痛,Pain,Sick + Mama + Task
康,Health,Mullet + Brush + Water
悩,Worry,Soul + Grass + Treasure Chest
暇,"Spare Time, Free Time",Sun + Comb + Cage + Stool
訪,Visit,Say + Direction
招,Beckon,Fingers + Sword + Mouth
怒,"Angry, Anger",Woman + Stool + Heart
撃,Attack,Car + Weapon + Hand
妙,Strange,Woman + Few
麗,Lovely,Lovely
隊,Squad,Building + Horns + Pig
衆,Populace,Blood + Hair + Tofu
冷,"Cool, Cold",Ice + Orders
稚,Immature,Grain + Turkey
奇,"Odd, Strange",Big + Lip Ring
婦,Wife,Woman + Wolverine + Forehead + Towel
券,Ticket,Horns + Train + Sword
絶,"Extinction, Die Out",Thread + Color
微,Delicate,Loiter + Mountain + Pi + Winter
逆,Reverse,Treadmill + Barracks
録,Record,Gold + Wolverine + Water
清,Pure,Tsunami + Blue
博,"Exhibition, Gambling",Cross + Specialty
潔,Pure,Tsunami + Life + Sword + Thread
修,Discipline,Leader + Stick + Winter + Hair
傘,Umbrella,Hat + Person + Cross
程,Extent,Grain + Mouth + King
憲,Constitution,Roof + Life + Net + Heart
益,Benefit,Horns + Ground + Fins + Plate
移,Shift,Grain + Evening + Evening
児,Child,Stick + Sun + Legs
並,Line Up,Horns + Ground + Spikes
凍,Frozen,Ice + East
巨,Giant,Giant
庫,"Storage, Warehouse",Mullet + Car
精,Spirit,Rice + Blue
処,Deal With,Winter + Table
綺,Beautiful,Thread + Big + Lip Ring
攻,"Aggression, Attack, Offense",Construction + Winter
浜,Beach,Tsunami + Axe + Ground + Fins
幼,"Infancy, Child",Trash + Power
江,"Inlet, Bay",Tsunami + Construction
壊,Break,Dirt + Cross + Net + Clothes
診,Diagnose,Say + Hat + Hair
請,Request,Say + Blue
杯,Cup Of Liquid,Tree + Not
僚,Colleague,Leader + Charcoal
板,Board,Tree + Anti
監,Oversee,Servant + Gun + Ground + Plate
寄,Approach,Roof + Odd
宗,Religion,Roof + Jackhammer
街,Street,Go + Dirt
緊,Tense,Servant + Stool + Thread
索,Search,Cross + Forehead + Thread
添,Append,Tsunami + Heaven + Small + Drop
積,Accumulate,Grain + Blame
臣,Servant,Servant
詰,Stuffed,Say + Good Luck
催,Sponsor,Leader + Mountain + Turkey
督,Coach,Above + Small + Stool + Eye
宴,Banquet,Roof + Sun + Woman
雄,"Male, Brave",Narwhal + Private + Turkey
促,Urge,Leader + Foot
欧,Europe,District + Lack
略,Abbreviation,Rice Paddy + Kiss
娘,Daughter,Woman + Good
烈,"Violent, Intense",Yakuza + Knife + Boil
猛,Fierce,Animal + Child + Plate
怖,Scary,Soul + Narwhal + Towel
閣,The Cabinet,Gate + Kiss
韓,Korea,Morning + Korea
航,Navigation,Boat + Lid + Table
乾,Dry,Morning + Gun + Nose
恐,Fear,Saw + Heart
預,Deposit,Beforehand + Geoduck
貧,Poor,Part + Shellfish
適,Suitable,Treadmill + Mohawk
延,Prolong,Yoga + Correct
購,Subscription,Shellfish + Lifeguard
系,Lineage,Lineage
覧,Look At,Servant + Gun + Ground + See
快,Pleasant,Soul + Hook + Person
翌,"The Following, Next",Feathers + Stand
漏,Leak,Tsunami + Flag + Rain
遊,Play,Treadmill + Direction + Gun + Child
乏,Scarce,Leaf + Hills
更,Again,Ground + Rice Paddy + Treasure
婚,Marriage,Woman + Clan + Sun
背,"Back, Height",North + Moon
撮,Photograph,Fingers + Sun + Ear + Stool
詳,Detailed,Say + Sheep
騒,Boisterous,Horse + Stool + Insect
懐,Nostalgia,Soul + Cross + Net + Clothes
照,Illuminate,Sun + Joker + Boil
盗,Steal,Next + Plate
版,Edition,One Sided + Anti
飾,Decorate,Eat + Gun + Towel
符,Token,Bamboo + Attach
浮,Float,Tsunami + Cleat + Child
枕,Pillow,Tree + Big
押,Push,Fingers + Turtle Shell
越,Go Beyond,Run + Become
魅,Alluring,Demon + Jet
渇,Thirst,Tsunami + Sun + Prison + Spoon
旗,Flag,Direction + Gun + Crab
華,Showy,Flowers + Rice Paddy + Cross
墓,Grave,Greenhouse + Dirt
尋,Inquire,Wolverine + Construction + Mouth + Measurement
菜,Vegetable,Flowers + Cleat + Tree
豪,Luxurious,Lid + Mouth + Forehead + Pig
探,Look For,Fingers + Pi + Tree
粉,Powder,Rice + Part
編,Knit,Thread + Library
融,Dissolve,bully + Insect
既,Previously,Root + Fang
除,Exclude,Building + Surplus
鑑,Model,Gold + Oversee
幾,"How Many, How Much",Trash + Drunkard + Person
倉,Warehouse,Warehouse
嘆,Sigh,Mouth + Chinese
驚,Surprised,Poem + Winter + Horse
帯,Belt,Ground + Mountain + Forehead + Towel
貨,Freight,Change + Shellfish
散,Scatter,Blackjack + Moon + Winter
脈,Vein,Moon + Cliff + Tofu
陸,Land,Building + Womb
徳,Virtue,Loiter + Cross + Net + Heart
偵,Spy,Leader + Toe + Shellfish
掃,Sweep,Fingers + Wolverine + Forehead + Towel
巣,Nest,Simple + Fins
離,Detach,Rocket + Turkey
似,Resemble,Leader + Lion + Drop + Person +
富,Rich,Roof + Scarecrow
均,Equal,Dirt + Pool
泥,Mud,Tsunami + Flag + Spoon
救,Rescue,Request + Winter
径,Diameter,Loiter + Tombstone
孫,Grandchild,Child + Lineage
廊,Corridor,Mullet + Guy
普,Normal,Line Up + Sun
棒,"Pole, Rod",Tree + Train + Dry
訳,"Translation, Reason",Say + Shrimp
桜,"Sakura, Cherry Tree",Tree + Grass + Woman
染,Dye,Tsunami + Nine + Tree
党,Group,Viking + Older Brother
恩,Kindness,Big + Mouth + Heart
秘,Secret,Grain + Certain
祖,Ancestor,Spirit + Top Hat
複,Duplicate,Spirit + Black Hole
汚,Dirty,Tsunami + Ground + Beggar
机,Desk,Tree + Table
眼,Eyeball,Eye + Root
績,Exploits,Thread + Blame
酸,Acid,Alcohol + Spider
卵,Egg,Pool
銭,Coin,Gold + Bar
迎,Welcome,Treadmill + Cat Pirate
液,"Fluid, Liquid",Tsunami + Night
捨,Throw Away,Fingers + Hat + Dirt + Mouth
欲,Want,Valley + Lack
永,Eternity,Water + Drop
興,Interest,Comb + Same + Ground + Fins
採,Gather,Fingers + Cleat + Tree
衛,Defense,Go + Korea
雑,"Random, Miscellaneous",Nine + Tree + Turkey
厳,Strict,Grass + Cliff + Elf + Winter
込,Crowded,Treadmill + Enter
傷,Wound,Leader + Gun + Easy
密,Secrecy,Roof + Certain + Mountain
暖,Warm,Sun + Football
賛,Agree,Husband + Shellfish
志,Intention,Samurai + Heart
序,Preface,Mullet + Beforehand
飼,Domesticate,Eat + Director
糖,Sugar,Rice + Mullet + Brush + Mouth
賃,Rent,Leader + King + Shellfish
蒸,Steam,★
諸,Various,Say + Someone
蔵,Storehouse,Storehouse
肺,Lung,Moon + City
盛,"Pile, Heaps",Become + Plate
拡,Extend,Fingers + Mullet + Private
忠,Loyalty,Middle + Heart
装,Attire,Icicle + Samurai + Clothes
漠,"Desert, Vague",Tsunami + Greenhouse
操,"Manipulate, Chastity",Fingers + Products + Tree
著,Author,Flowers + Someone
砂,Sand,Stone + Few
異,Differ,Rice Paddy + Blackjack + Fins
筋,"Muscle, Tendon",Bamboo + Moon + Power
皇,Emperor,White + King
窓,Window,Hole + Private + Heart
垂,"Dangle, Drip",Car
簡,Simplicity,Bamboo + Interval
尊,Revered,Horns + Alcohol + Measurement
否,No,Not + Mouth
誌,Magazine,Say + Samurai + Heart
裏,Backside,Lid + Village + Kick
閉,Close,Gate + Genius
暮,Livelihood,Greenhouse + Sun
宝,Treasure,Roof + King + Drop
熟,Ripen,Sock + Circle + Boil
灰,Ashes,Cliff + Fire
納,Supply,Thread + Inside
宣,Proclaim,Roof + Ground + Dawn
敬,Respect,Poem + Winter
揮,Brandish,Fingers + Forehead + Car
降,Descend,Building + Winter + Cow
縮,Shrink,Thread + Roof + Leader + Hundred
奴,Dude,Woman + Stool
幕,Curtain,Greenhouse + Towel
貴,Valuable,Middle + Ground + Shellfish
歓,Delight,Arrow + Turkey + Lack
隷,Slave,Samurai + Jackhammer + Brush + Water
豆,Beans,Beans
損,Loss,Fingers + Member
丼,Rice Bowl,Well + Drop
劇,Drama,Tiger + Pig + Knife
沿,Run Alongside,Tsunami + Fins + Mouth
腐,Rot,Mullet + Attach + Meat
粋,Stylish,Rice + Nine + Cross
聖,Holy,Ear + Mouth + King
拝,Worship,Fingers + Dry
推,Infer,Fingers + Turkey
磁,Magnet,Stone + Horns + Ground + Trash
紅,"Deep Red, Crimson",Thread + Construction
誤,Mistake,Say + Catapult
勤,Work,Boot + Power
承,Consent,Child + Water
純,Pure,Thread + Barracks
刻,Carve,Slice + Knife
源,Origin,Tsunami + original
吐,"Throw Up, Spit",Mouth + Dirt
薦,Recommend,Flowers + Mullet + Bird
射,Shoot,Say + Body + Measurement
臓,Internal Organs,Moon + Storehouse
芋,Potato,Dry + Flowers
枝,Branch,Tree + Branch
縦,Vertical,Thread + Loiter + Horns + Correct
爪,Claw,Claw
舎,Cottage,Hat + Dirt + Mouth
汁,Soup,Tsunami + Cross
介,Jammed In,Hut
炎,Flame,Fire + Fire
亀,Turtle,Turtle
滞,Stagnate,Tsunami + Belt
紹,Introduce,Thread + Joker
破,Tear,Stone + Skin
払,Pay,Fingers + Private
剣,Sword,Squid + Knife
熊,Bear,Ability + Boil
銅,Copper,Gold + Same
厄,Unlucky,Cliff + Snake
酔,Drunk,Alcohol + Nine + Cross
獄,Prison,Animal + Say + Dog
己,Oneself,Oneself
彼,He,Loiter + Skin
油,Oil,Tsunami + Reason
講,Lecture,Say + Lifeguard
遅,Slow,Treadmill + Flag + Sheep
測,Measure,Tsunami + Shellfish + Knife
杉,Cedar,Tree + Hair
醤,Soy Sauce,Commander + Alcohol
為,Sake,Sake
互,Mutual,Ground + Shuriken
寿,Lifespan,Train + Measurement
彫,Carve,Circumference + Hair
恥,Shame,Ear + Heart
酢,Vinegar,Alcohol + Key
鍋,Pot,Gold + Mustache + Mustache
噌,Boisterous,Mouth + Mask
湖,Lake,Tsunami + Old + Moon
甘,Sweet,Sweet
牙,"Fang, Tusk",Fang
盟,Alliance,Bright + Plate
旧,Former,Stick + Sun
及,Reach,Escalator
舞,Dance,Nothing + Dance
幅,Width,Towel + Creeper + Rice Paddy
伸,Stretch,Leader + Humble
沖,Open Sea,Tsunami + Middle
核,Nucleus,Tree + Slice
摘,Pluck,Fingers + Mohawk
津,Haven,Tsunami + Brush
縄,Rope,Thread + Turtle
維,Maintain,Thread + Turkey
奈,Nara,Big + Jackhammer
療,Heal,Sick + Charcoal
頼,Trust,Bundle + Geoduck
献,Offer,South + Dog
廃,Obsolete,Mullet + Departure
超,"Ultra, Super",Run + Joker
継,Inherit,Thread + Lion + Rice
遺,Leave Behind,Treadmill + Valuable
伎,Deed,Leader + Branch
般,Generally,Boat + Weapon
将,Commander,Icicle + Cleat + Measurement
踏,Step,Foot + Water + Sun
依,"Reliant, Dependant",Leader + Clothes
鹿,Deer,Mullet + Helicopter + Compare
換,Exchange,Fingers + Prison + Head + Legs + Big
貿,Trade,Private + Sword + Shellfish
諾,Agreement,Say + Flowers + Right
債,Debt,Leader + Blame
姓,"Surname, Family Name",Woman + Life
狙,Aim,Animal + Top Hat
香,Fragrance,Grain + Sun
抗,Confront,Fingers + Lid + Table
臨,Look To,Servant + Gun + Products
掲,Display,Fingers + Sun + Prison + Spoon
跡,Traces,Foot + Red
昭,Shining,Sun + Joker
兆,Omen,Omen
塁,"Base, Baseball Base",Rice Paddy + Explosion + Dirt
闘,Struggle,Gate + Beans + Measurement
漁,Fishing,Tsunami + Fish
爆,Explode,Fire + Violence
湾,Gulf,Tsunami + Red + Bow
崩,Crumble,Mountain + Moon
葬,Burial,Flowers + Ground + Yakuza + Spoon + Twenty
償,Reparation,Leader + Prize
刑,Punish,Lantern + Knife
抵,Resist,Fingers + Clan + Ground
募,Recruit,Greenhouse + Power
跳,Hop,Foot + Omen
遣,Dispatch,Treadmill + Insect + Bear
弾,Bullet,Bow + Simple
患,Afflicted,Skewer + Heart
戻,Return,Door + Big
契,Pledge,Master + Sword + Big
執,Tenacious,Happiness + Circle
聴,Listen,Ear + Cross + Net + Heart
陣,Army Base,Building + Car
旬,"In Season, Time of the Month, Season",Prison + Sun
恵,Favor,Cross + Rice Paddy + Heart
抱,Hug,Fingers + Prison + Oneself
削,Whittle Down,Triceratops + Moon + Knife
刊,Edition,Dry + Knife
房,Cluster,Door + Direction
贈,Presents,Shellfish + Mask
抑,Suppress,Fingers + Cat Pirate
避,Dodge,Treadmill + Hot Pepper
還,Send Back,Treadmill + Net + Ground + Zombie
傾,Lean,Change + Geoduck
娠,Pregnant,Woman + Landslide
妊,Pregnant,Woman + King
描,Draw,Fingers + Flowers + Rice Paddy
託,Consign,Say + Slide + Seven
懸,Suspend,Prefecture + Lineage + Heart
需,Demand,Rain + Rake
賂,Bribe,Shellfish + Kiss
緩,Loose,Thread + Football
賄,Bribe,Shellfish + Have
却,Contrary,past + Stamp
奏,Play Music,Train + Heaven
盤,Tray,Boat + Weapon + Plate
奥,Interior,Drop + Head + Rice + Big
緒,Together,Thread + Someone
慮,Consider,Tiger + Think
宜,Best Regards,Roof + Top Hat
繰,Spin,Thread + Syrup
致,Do,Mole + Winter
択,Select,Fingers + Shrimp
称,Title,Grain + Gun + Small
扱,Handle,Fingers + Escalator
伴,Accompany,Leader + Half
逃,Escape,Treadmill + Omen
齢,Age,Tooth + Orders
併,Join,Leader + Horns + Lantern
奪,Rob,Big + Turkey + Measurement
埼,Cape,Dirt + Odd
銃,Gun,Gold + Allocate
祉,Welfare,Spirit + Stop
免,Excuse,Excuse
鋼,Steel,Gold + Hill
隆,Prosperity,Building + Winter + Life
圏,Range,Mouth + Scroll
片,One Sided,one sided
埋,Bury,Dirt + Village
慎,Humility,Soul + Reality
枠,Frame,Tree + Nine + Cross
阜,Mound,Drop + Bear + Cross
壁,Wall,Hot Pepper + Dirt
邦,Home Country,Three + Slide + Building
岐,Branch Off,Mountain + Branch
躍,Leap,Foot + Wolverine + Turkey
甲,"Turtle Shell, A",Turtle Shell
譲,Defer,Say + Nurse
雇,Employ,Door + Turkey
項,Paragraph,Construction + Geoduck
勧,Recommend,Arrow + Turkey + Power
充,Allocate,Allocate
御,Honorable,Loiter + Gun + Correct + Stamp
斐,Patterned,Criminal + Writing
渋,Bitter,Tsunami + Stop + Explosion
鈴,Buzzer,Gold + Orders
群,Flock,Buddy + Sheep
稲,Rice Plant,Grain + Cleat + Former
棋,Chess Piece,Tree + Crab
拒,Refusal,Fingers + Giant
仙,Hermit,Leader + Mountain
謙,Modesty,Say + Mona Lisa
控,Abstain,Fingers + Sky
殿,"Milord, Lord",Flag + Together + Weapon
犠,Sacrifice,Cow + Righteousness
誉,Honor,Grass + Ground + Fins + Say
隣,Neighbor,Building + Rice + Dance
殖,Multiply,Yakuza + Fix
兼,Concurrently,Mona Lisa
獲,Seize,Animal + Flowers + Turkey + Stool
雅,Elegant,Fang + Turkey
薄,Dilute,Flowers + Tsunami + Specialty
顧,Review,Employ + Geoduck
堀,Ditch,Dirt + Flag + Exit
敷,Spread,Cross + Rice Paddy + Direction + Winter
柱,Pillar,Tree + Master
頻,Frequent,Walk + Geoduck
吹,Blow,Mouth + Lack
茂,Luxuriant,Flowers + Slide + Drunkard
唱,Chant,Mouth + Sun + Sun
駆,Gallop,Horse + District
孝,Filial Piety,Teacher
衝,Collide,Go + Heavy
敏,Alert,Every + Winter
褒,Praise,Lid + Preserve + Clothes
巡,Patrol,Treadmill + Flood
繁,Overgrown,Every + Winter + Thread
駐,Resident,Horse + Master
戒,Commandment,Drunkard + Twenty
携,Portable,Fingers + Turkey + Stairs
透,Transparent,Treadmill + Grain + Stairs
剤,Dose,Simultaneous + Knife
俊,Genius,Leader + Spider
鋭,Sharp,Gold + Guard
排,Reject,Fingers + Criminal
拳,Fist,Horns + Train + Hand
虎,Tiger,Tiger + Legs
樹,Wood,Tree + Cross + Beans + Measurement
酎,Sake,Alcohol + Measurement
至,Attain,Mole
誠,Sincerity,Say + Become
瀬,"Rapids, Shallows",Tsunami + Bundle + Geoduck
畑,Field,Fire + Rice Paddy
墟,Ruins,Dirt + Tiger + Cactus
伺,Pay Respects,Leader + Director
徹,Penetrate,Loiter + Boob + Moon + Winter
鉱,Mineral,Gold + Wide
儀,Ceremony,Leader + Righteousness
衣,Clothes,Clothes
仁,Humanity,Leader + Two
棄,Abandon,Trash + Fruit
偽,Fake,Leader + Sake
蜂,Bee,Insect + Winter + Signpost
侵,Invade,Leader + Wolverine + Forehead + Stool
潜,Conceal,Tsunami + Husband + Husband + Sun
拠,Based On,Fingers + Winter + Table
遜,Humble,Treadmill + Child + Lineage
炭,Charcoal,Mountain + Cliff + Fire
包,Wrap,Prison + Oneself
撤,Withdrawal,Fingers + Boob + Moon + Winter
蜜,Honey,Roof + Certain + Insect
蛍,Firefly,Viking + Insect
艦,Warship,Boat + Oversee
措,Set Aside,Fingers + Long Ago
郷,Hometown,poop + Guy
範,Example,Bamboo + Car + Snake
揚,Hoist,Fingers + Easy
斎,Purification,Simultaneous + Jackhammer
袋,Sack,Substitute + Clothes
到,Arrival,Mole + Knife
克,Overcome,Old + Legs
床,Floor,Mullet + Tree
暫,Temporarily,Car + Axe + Sun
弧,Arc,Bow + Melon
握,Grip,Fingers + Shop
網,Netting,Thread + Hill
析,Analysis,Tree + Axe
綱,Cable,Thread + Hill
哲,Philosophy,Fingers + Axe + Mouth
喪,Mourning,Cross + Mouth + Mouth + Clothes
泊,Overnight,Tsunami + White
堅,Solid,Servant + Stool + Dirt
糾,Twist,Thread + Vines
挑,Challenge,Fingers + Omen
荒,Wild,Flowers + Death + River
紛,Distract,Thread + Part
掘,Dig,Fingers + Flag + Exit
軸,Axis,Car + Reason
双,Pair,Stool + Stool
芝,Lawn,Flowers + Hills
肝,Liver,Moon + Dry
柄,Pattern,Tree + Dynamite
潟,Lagoon,Tsunami + Sun + Wing
枢,Hinge,Tree + District
括,Fasten,Fingers + Tongue
揺,Shake,Fingers + Satellite
焦,Char,Turkey + Boil
滑,Slippery,Tsunami + Bone
慰,Consolation,Flag + Jackhammer + Measurement + Heart
懇,Courteous,badger + Root + Heart
炉,Furnace,Fire + Door
封,"Seal, Seal In, Closing",Dirt + Dirt + Measurement
即,Instant,Root + Stamp
滅,Destroy,Tsunami + Slide + Drunkard + Ground + Fire
筒,Cylinder,Bamboo + Same
斉,Simultaneous,Simultaneous
趣,Gist,Run + Ear + Stool
摩,Chafe,Mullet + Tree + Tree + Hand
距,Distance,Foot + Giant
襲,Attack,Imperial + Clothes
沈,Sink,Tsunami + Pirate
沼,Bog,Tsunami + Joker
籍,Enroll,Bamboo + Plow + Long Ago
貢,Tribute,Construction + Shellfish
潮,Tide,Tsunami + Morning + Moon
懲,Chastise,Loiter + Mountain + King + Winter + Heart
旨,"Point, Delicious",Spoon + Sun
撲,Slap,Fingers + Business
珍,Rare,King + Hat + Hair
岳,Peak,Axe + Ground + Mountain
柔,Gentle,Spear + Tree
刷,Printing,Flag + Towel + Knife
誰,Who,Say + Turkey
牧,Pasture,Cow + Winter
朗,Bright,Good + Moon
滋,Nourishing,Tsunami + Horns + Ground + Trash + Trash
露,"Expose, Dew",Rain + Foot + Kiss
威,Majesty,Drunkard + Slide + Ground + Woman
垣,"Hedge, Fence",Dirt + Ground + Dawn
泰,Peace,Train + Water
擦,Grate,Fingers + Roof + Festival
琴,Harp,King + King + Now
裂,"Split, Tear",Yakuza + Knife + Clothes
竜,Dragon,Dragon
謎,Riddle,Say + Treadmill + Rice
芽,Sprout,Flowers + Fang
涙,Teardrop,Tsunami + Door + Big
嵐,Storm,Mountain + Wind
吉,Good Luck,Good Luck
俺,"I, Me",Leader + Big + Rice Paddy + Umbrella
縁,Edge,Thread + Wolverine + Pig
桃,Peach,Tree + Omen
髪,Hair,Long + Hair + Friend
梨,Pear,Grain + Knife + Tree
丘,Hill,Axe + Ground
斗,"Ladle, Big Dipper",ladle
匹,"Small Animal, Small Animal Counter",Cage + Legs
雷,Thunder,Rain + Rice Paddy
娯,Recreation,Woman + Catapult
缶,"Can, Tin Can",Can
笠,Conical Hat,Bamboo + Stand
寸,Measurement,Measurement
姫,Princess,Woman + Servant
刃,Blade,Blade
翼,Wing,Feathers + Rice Paddy + Together
叫,Shout,Mouth + Vines
忍,Endure,Blade + Heart
棚,Shelf,Tree + Moon + Moon
粒,Grains,Rice + Stand
釣,Fishing,Gold + Pool
叱,Scold,Mouth + Seven
辛,Spicy,Spicy
侍,Samurai,Leader + Temple
僕,"I, Me",Leader + Business
砲,Cannon,Stone + Wrap
塔,Tower,Dirt + Flowers + Suit
朱,Vermillion,Slide + Jet
暦,Calendar,Cliff + Tree + Tree + Sun
呪,Curse,Mouth + Older Brother
陰,Shade,Building + Now + Cloud
肌,Skin,Moon + Table
井,Well,Well
曇,Cloudy,Sun + Rain + Cloud
湿,Damp,Tsunami + Sun + Spikes
眺,Stare,Eye + Omen
塾,Cram School,Sock + Circle + Dirt
磨,Polish,Mullet + Tree + Tree + Stone
卓,Table,Toe + Early
狩,Hunt,Animal + Protect
嫁,Bride,Woman + House
菌,Bacteria,Flowers + Mouth + Grain
澄,Lucidity,Tsunami + Tent + Beans
鐘,Bell,Gold + Stand + Village
脚,"Leg, Foot",Moon + past + Stamp
矛,Halberd,Spear
凶,Villain,Treasure Chest
裸,Naked,Spirit + Fruit
嬢,Miss,Woman + Nurse
翔,Fly,Sheep + Feathers +
狂,"Lunatic, Crazy",Animal + King
硬,Stiff,Stone + Again
疲,Exhausted,Sick + Skin
賭,Gamble,Shellfish + Someone
滝,Waterfall,Tsunami + Dragon
溝,Gutter,Tsunami + Lifeguard
魂,"Soul, Spirit",Cloud + Demon
也,Considerably,Alligator
稼,Earnings,Grain + House
頃,Approximate,Spoon + Geoduck
霊,Ghost,Rain + Two + Spikes
舟,Boat,Boat
塊,Lump,Dirt + Demon
吾,"I, Me",Five + Mouth
寧,Rather,Roof + Heart + Net + Street
穏,Calm,Grain + Cleat + Wolverine + Heart
碁,Go,Crab + Stone
穂,"Head of Plant, Ear of Plant",Grain + Favor
帝,Sovereign,Stand + Towel
瞳,Pupil,Eye + Stand + Village
俵,Sack,Leader + Life + Kick
椅,Chair,Tree + Odd
錬,Tempering,Gold + East
棟,Pillar,Tree + East
誇,Pride,Say + Big + Ground + Beggar
歳,Years Old,Stop + Slide + Drunkard + Jackhammer
孔,"Cavity, Hole",Child + Umbrella
阻,Thwart,Building + Top Hat
租,Tariff,Grain + Top Hat
鳩,"Dove, Pigeon",Nine + Bird
魔,Devil,Mullet + Tree + Tree + Demon
涼,Cool,Tsunami + Capital
癖,Habit,Sick + Hot Pepper
盆,Lantern Festival,Part + Plate
庄,Manor,Mullet + Dirt
菊,Chrysanthemum,Flowers + Prison + Rice
泡,Bubbles,Tsunami + Wrap
綿,Cotton,Thread + White + Towel
鍛,Forge,Gold + Comb + Weapon
黙,Shut Up,Village + Dog + Boil
架,Shelf,Power + Mouth + Tree
瞬,Blink,Eye + Cleat + Forehead + Dance
鍵,Key,Gold + Yoga + Brush
猿,Monkey,Animal + Dirt + Mouth + Kick
斬,Slice,Car + Axe
墨,Black Ink,Black + Dirt
零,"Zero, Spill",Rain + Orders
寮,Dormitory,Roof + Charcoal
鈍,Dull,Gold + Barracks
幽,Secluded,Mountain + Trash + Trash
幣,Cash,penguin + Towel
欺,Deceit,Crab + Lack
帽,Hat,Towel + Sun + Eye
爽,Refreshing,Big + Treasure
崖,Cliff,Mountain + Cliff + Dirt + Dirt
芯,Wick,Flowers + Heart
恨,Grudge,Soul + Root
粘,Sticky,Rice + Fortune
憩,Rest,Tongue + Self + Heart
掌,Manipulate,Viking + Mouth + Hand
唇,Lips,Landslide + Mouth
粧,Cosmetics,Rice + Mullet + Dirt
憎,Hate,Soul + Mask
扉,Front Door,Door + Criminal
巾,Towel,Towel
墜,Crash,Building + Horns + Pig + Dirt
塀,Fence,Dirt + Flag + Horns + Lantern
如,Likeness,Woman + Mouth
虹,Rainbow,Insect + Construction
婆,Old Woman,Wave + Woman
哀,Pathetic,Lid + Mouth + Kick
挿,Insert,Fingers + Thousand + Humble
霧,Fog,Rain + Task
炊,Cook,Fire + Lack
伊,Italy,Leader + Wolverine + Slide
滴,Drip,Tsunami + Mohawk
扇,Folding Fan,Door + Feathers
尺,"Shaku, Japanese Foot",Shrimp
胴,Torso,Moon + Same
箸,Chopsticks,Bamboo + Someone
瞭,Clear,Eye + Charcoal
砕,Smash,Stone + Nine + Cross
柳,Willow,Tree + Stamp
詐,Lie,Say + Key
畳,Tatami Mat,Rice Paddy + Forehead + Top Hat
